sen_ID,sentence,attribute,sub_attr,attr_class,# attributes,sent_class_og,sent_class
76,Also I am not a big fan of the bar - I ordered a drink here once and the bartender took what was nearly double the price of the drink and didn't give me any change assuming it was a tip!,price,value,4,1,0,0
77,"Big Sicilian slices, individually topped, and freshly made!",food,quantity,1,1,3,2
78,They sprint to 3rd Ave to get your car!,service,employee,3,1,3,2
79,=[ Perhaps quality has declined over the years.,general,general,5,1,1,0
80,The eggplant was very tasty and well prepared.,food,taste,1,1,3,2
81,I also left my card to pay for the meal with the hostess as it was a big party.,general,general,5,1,2,1
82,The flavor in those thing's is unbelievable.,food,taste,1,1,4,2
83,"Tiny Italian place in Shadyside, Girasole has a tiny menu with a few notable items.",food,taste,1,1,3,2
84,"Although I grew up in Idaho, I'm used to karaoke box style karaoke, as my husband and I lived in Tokyo for three years.",ambiance,atmosphere,0,1,3,2
85,The staff was so helpful and nice.,service,employee,3,1,3,2
86,The scallops were seared nicely and well-seasoned.,food,taste,1,1,3,2
87,I asked for quotes with and without a trade-in.,price,deals,4,1,2,1
88,Every time I come to Pittsburgh I have to go to Point Brugge.,general,general,5,1,4,2
89,It was...not for me.,general,general,5,1,0,0
90,"The sushi chef is actually Japanese, and you can really tell from the quality and authenticity of the food.",food,taste,1,1,3,2
91,Freshness of food really is hit or miss.,food,freshness,1,1,3,2
92,But to be bombarded before you even sit down with questions from the servers is a bit irritating.,service,employee,3,1,1,0
93,"One item of note, if you are in a group of 6 or more, gratuity is automatically included in your bill.",price,value,4,1,2,1
94,"Kay, however, is guilty as well for she partook of a Coconut Macaroon on the way over.",food,taste,1,1,3,2
95,Definitely stop by and check it out- you won't be sorry!,general,general,5,1,4,2
96,Just tough to recall all the details!,general,general,5,1,2,1
97,This is like the subway of sushi...,ambiance,atmosphere,0,1,3,2
98,I thought it was going to be good with some of the reviews I read.,general,general,5,1,3,2
99,One of the best pork chops if not the best I've ever had.,food,taste,1,1,3,2
100,"Been there twice so far the first (early in the a.m.) was friendly, fast, efficient.",service,employee,3,,3,2
101,Oh we split a small spinach salad to start.,food,taste,1,,2,1
102,"The price isn't bad, either.",price,value,4,,3,2
103,I regret telling my bestie to get their homemade chips b/c they def weren't as yummers.,food,taste,1,,1,0
104,There was no wait so we were seated right away.,service,wait,3,,3,2
105,I got one of each of the four on display. and a baguette.,food,taste,1,,2,1
106,I still can't figure out how they sliced it.,food,taste,1,,3,2
107,"For example, the Vietnamese crepe was an interesting new thing to try and was delicious.",food,taste,1,,4,2
108,We waited...and waited...and waited some more.,service,wait,3,,0,0
109,"For some reason, I have been to every restaurant at the casino EXCEPT for the buffet, and I definitely wasn't disappointed.",general,general,5,,3,2
110,"The last couple of times I have asked anything like that the associates have looked at me like ""Gee thanks for wasting my time jack-wagon!""",service,employee,3,,1,0
111,"When she did, we asked about a price on the check.",price,value,4,,2,1
112,The service here is decent and friendly.,service,employee,3,,3,2
113,The service was very good also.,service,employee,3,,4,2
114,Its prices are generally higher than Aldi's on most items.,price,value,4,,1,0
115,"The seasonings are beautiful, and the chicken really is a delight from aroma to mouthful.",food,taste,1,,3,2
116,I have yet to buy the fish so for $150 you can get everything you need for your 10 gallon tank.,price,value,4,,3,2
117,After a few hours and cold the burrito still help up.,food,taste,1,,0,0
118,"The sushi creations were pretty imaginative and unconventional, very fusion-like with the flavors.",food,taste,1,,3,2
119,"It was a good deal without the coupon though, so I give it a 4 star rating on price.",price,deals,4,,3,2
120,I won't be back.,general,general,5,,0,0
121,"I feel like so many breakfast spots serve benedicts of all sorts that are usually quite small, have very little hollandaise and are served with a salad.",food,quantity,1,,1,0
122,"It was as described, peppered and thick cut.",food,taste,1,,3,2
123,The street noodle dishes are amazing!,food,taste,1,,3,2
124,There also isn't much seating area and there is no atmosphere at all.,ambiance,atmosphere,0,,0,0
125,Since they don't have a menu available online there was no ordering ahead.,service,add,3,,1,0
126,"In fact, it was awful.",general,general,5,,0,0
127,"Prices are on the higher side for ice cream, but if you bring your own cup you get a discount, and they also have a frequent visitor promo where you can get stamps for free ice cream down the road.",price,deals,4,,1,0
128,Mmmm.,general,general,5,,2,1
129,"Well, when we walked in we weren't sure if we should seat ourselves or wait for someone.",service,employee,3,,2,1
130,"I waved over another waiter, and he quickly gave us drink refills.",service,employee,3,,3,2
131,It fit my desire for something sweet so I went inside.,general,general,5,,2,1
132,"They'll help, and it's easy to interact with them like good humans as opposed to a 'hi can I help you' staff.",service,employee,3,,3,2
133,"On any given Sunday, you'll find fans of just about every team in the NFL taking in a game, so the atmosphere is a positive one.",ambiance,atmosphere,0,,3,2
134,We order from here for lunch occasionally and the food is top notch.,food,taste,1,,4,2
135,Both went out of their way to test your acceptance levels.,service,employee,3,,0,0
136,"Cevapi is a sandwich that utilizes somun, a cross between pita and flatbread.",food,taste,1,,2,1
137,This makes Steel Cactus ideal for a slightly-younger crowd than myself.,ambiance,atmosphere,0,,3,2
138,The staff was very nice.,service,employee,3,,4,2
139,2) You will not find the Campbell Soup Can paintings here.,ambiance,atmosphere,0,,2,1
140,God love her.,service,employee,3,,4,2
141,It was so rich and fudgy delicious I wish I would have bought more than one.,food,taste,1,,4,2
142,"Outside you can usually find people offering jitney services, selling food stamps or selling bootleg dvds lol!",location,neighborhood,2,,1,0
143,Needing to be warmed up I ordered a flower tea and a bowl of Tom Kha soup with chicken while I waited for my friend to arrive.,food,taste,1,,2,1
144,"The ambience is awesome, the food is just OK.",ambiance,atmosphere,0,,4,2
145,The service was nice and not slow.,service,employee,3,,3,2
146,"I always struggle trying to push my heaping cart,  heavy with asian mushrooms, tofu, noodles and dumplings up to the register, yet I've never had the total exceed $50, ever.",price,value,4,,3,2
147,I understand that they recently relocated and that perhaps they didn't get a chance to fully setup their signs yet.,location,convenience,2,,1,0
148,My husband's dish was covered in delicious garlic and beautiful peppers--both green and hot.,food,taste,1,,3,2
149,"While dining in, other California natives came in and were happy to find the place.",ambiance,atmosphere,0,,3,2
150,"In the combo, there were breaded shrimp and unbreaded shrimp with a pesto-based sauce.",food,taste,1,,2,1
151,Perfecto!,general,general,5,,4,2
152,I would recommend eating here for any kind of Asian cuisine you're craving since their menu includes a lot of options.,food,taste,1,,3,2
153,Don't dismiss Ditka's because of the celebrity nametag attached to it or because it's a chain (there are only 3 of them in the entire United States) in an area full of them.,general,general,5,,3,2
154,"They have lots of ""Sex in the City""-wannabe martinis to go w/ the ""Sex in the City""-wannabe crowd.",ambiance,atmosphere,0,,1,0
155,I also really like the avocado and crab appetizer.,food,taste,1,,3,2
156,After we were seated it took a few more minutes even to have our drink orders taken.,service,wait,3,,1,0
157,I'm with Dan--I don't understand all the haterade either.,general,general,5,,3,2
158,It was beautiful!,general,general,5,,4,2
159,"HB and I were talking to these older guys about popular new restaurants popping up all over the city when this really ""special"" dude sat next to me and proceeded to tell me that ""I was the most beautiful girl"" and to go have a drink with him, AS IF!",general,general,5,,3,2
160,"While I was a fan of the blue plate special, the salads I've had from here have been just okay.",food,taste,1,,2,1
161,Overall we left extremely satisfied - it helped that we had a $25 restaurant.com certificate (otherwise it would have been too pricey to try the place).,price,deals,4,,3,2
162,Food is ok (the regular tex-mex stuff).,food,taste,1,,2,1
163,"Not that everyone needs to order an appetizer, salad, and an entree, but it added up to about $50 bucks after tip, which is just a bit too rich for me for one person.",price,,4,,1,0
164,"But, anyway.",general,,5,,1,0
165,"S Bar is a cool martini bar in the South Side that is clean and modern, but lacks the trophy wives (or trophy wives in training) of say the Elixir Ultra Lounge (also in the SS).",ambiance,,0,,4,2
166,"She did forget to put the marshmallows on top, which I realized after I'd sat down and took a bite, but I went back in and reminded her, and she put them on with no complaints (except for asking her coworker accusingly if he'd put the marshmallows back!).",service,,3,,1,0
167,Really?!,general,,5,,1,0
168,I like that they try to be pretentious.,service,,3,,1,0
169,Note #1: Castle Place Chinese Cuisine sits in the small Castle Place shopping plaza.,location,,2,,2,1
170,I recommend it constantly to friends and acquaintances.,general,,5,,4,2
171,"It was a bit too fatty and greasy for me, and I wasn't a particular fan, but I had to try it since I was there.",food,,1,,1,0
172,I would also like it if they offered at least one childrens tv station or coloring books for when kids have to wait too.,service,,3,,1,0
173,"Even so, the corn was a bit mushy, which detracted from the overall effect.",food,,1,,1,0
174,"While it's challenging to park downtown on the weekends, I still think it's worth having this membership.",location,,2,,1,0
175,This is my favorite place for Indian food.,food,,1,,4,2
176,Also better lighting would improve this place.,ambiance,,0,,1,0
177,"Once outside, we found an intimate, surprisingly warm and cozy space (on an otherwise cold and rainy evening), filled with patrons.",ambiance,,0,,4,2
178,"Every time i attempt to go here again and relive the love I once had for it, I am disappointed.",general,,5,,0,0
179,This is my pregame Pitt basketball stop.,location,,2,,3,2
180,My husband took me here for our first anniversary and everything was perfect.,general,,5,,4,2
181,"I got the turkey sub, due to diet restrictions (no mayo, no cheese) it was bland, but that's all on me.",food,,1,,0,0
182,Didn't know they only gave out smalls or extra larges....,service,,3,,1,0
183,"Of course, if I want to splurge, Panera is good for that, too!",price,,4,,3,2
184,"I ordered a half dozen oysters, which were surprisingly good.",food,,1,,3,2
185,The amount of light that this place gets is equal the amount that batman gets in his cave.,ambiance,,0,,1,0
186,"I would love to try this chili on something because it can hold its own and not make a huge sloppy mess (Ideas pop into head, burger, nachos oh the list could go on).",food,,1,,3,2
187,"I don't know how long his policy will last, and if it's something all the locations do.",service,,3,,2,1
188,The manager was stopping at all the tables to check on how everything was.,service,,3,,3,2
189,Don't think because the Lville spot is open that Franktuary has abandoned downtown.,location,,2,,2,1
190,"Happy hour (5pm-7pm) is the best time to go, in my humble opinion.",price,,4,,3,2
191,Having flown through 20 different US airports so far in my life I feel pretty comfortable rating PGH INTL four stars.,general,,5,,3,2
192,I'm sure they will raise the price as it's popularity grows but at least for now try all you can.,price,,4,,3,2
193,When I'm going to have a cheat day with pizza it's Beto's for me.,food,,1,,3,2
194,"It gets busy, so be prepared to wait.",service,,3,,1,0
195,The eat-in atmosphere is not great (very small and basic) but honestly the food is so tasty you won't even care.,ambiance,,0,,1,0
196,Parking:  We parked in a garage across the street from Heinz Hall.,location,,2,,3,2
197,"Also, when making that comparison, the crowd here is a more on the professional side and 30+ compared to the 20+ and moms w/babies & strollers.",ambiance,,0,,3,2
198,"This one, in the Cultural Distract, is open a little later.",location,,2,,2,1
199,"Their coleslaw is possibly the best I've had anywhere, ever.",food,,1,,4,2
200,"she had asked us, in a tone of half disgust and half dismissal.",service,,3,,1,0
201,I plan to return for French toast and then another time for dinner.,food,,1,,3,2
202,The sauce they were in was the true star of the dish.,food,,1,,3,2
203,Our waitress was very nice and she was training a nice young man.,service,,3,,4,2
204,Both were delicious and helped to scoop up the delicious food.,food,,1,,4,2
205,I'm telling all of my friends!,general,,5,,3,2
206,WOAH we were wrong.,general,,5,,0,0
207,Just go.,general,,5,,3,2
208,Outdoor seating is available now.,ambiance,,0,,3,2
209,They are also what made me give this place 4 stars.,service,,3,,4,2
210,"How to review the Walnut Grill?--a place that served us quality food on a standard menu, but at prices where some imagination would have gone a long way, especially since we paid a lot for it?",price,,4,,1,0
211,It charges $2.,price,,4,,2,1
212,Good portions and very good.,food,,1,,4,2
213,I love ordering from them because they're super fast and so inexpensive!,service,,3,,3,2
214,We had cauliflower and brussel sprout appetizers.,food,,1,,2,1
215,"Things happen and I get that, but I noted above how service always seems to be questionable here.",service,,3,,1,0
216,Flavor is there but needs to have a crispy coating and somehow doesn't.,food,,1,,2,1
217,I'd like to come back here and try some other menu items.,food,,1,,3,2
218,"I think if the prices were lower, and that fact were advertised or known, it could be packed since it is really close to bakery square and target etc. in general, in order for this city to have a true food revolution, prices need to be cheaper so that everyone can participate, especially when you have a potentially high traffic spot like this place does.",price,,4,,1,0
219,Don't order the nachos!,food,,1,,0,0
220,Die.,general,,5,,0,0
221,This restaurant s just ok.,general,,5,,2,1
222,"The toppings bar is totally what makes it--pico de gallo, salsa verde, a variety of hot salsas, guacamole sauce, and basically ever other topping you can imagine (except cotija--didn't see any cheeses but that was fine by me!).",food,,1,,4,2
223,One thing I was not prepared for was how upscale it was.,ambiance,,0,,3,2
224,The prices are a bit on the higher side so we always try to go to matinees.,price,,4,,1,0
225,Delicious pork belly buns and sizable portions for decent price.,food,,1,,4,2
226,"Plus they have an awesomely shitty pool table where your cues won't be straight and the table is probably uneven, and it's impossible to line up a shot without hitting the wall.",ambiance,,0,,0,0
227,The waitress kept the cups full and the puppy water bowl full...we didn't want for nothing!,service,,3,,3,2
228,I ve almost tried everything on their menu and i have never regreted.,food,,1,,3,2
229,The cookies ($1.75) looked really good.,food,,1,,4,2
230,The server did bring beer when we asked and a box but apparently could not be bothered with bringing more water.,service,,3,,1,0
231,"Not greasy, but a tad too spicy.",food,,1,,1,0
232,The cost for 2 craft beers was only $9.50!,price,,4,,4,2
233,"I can deal with bacon instead of pepperoni, onions instead of mushrooms, etc.",food,,1,,1,0
234,In this little nice restaurant they have some good real authentic dishes.,food,,1,,4,2
235,I must be jaded since I came from Boston where the Bakeries are excellent.,location,,2,,3,2
236,"Their collection of funny and local (Kennywood and RMU) coffee mugs that look like they were randomly pulled out of your grandmother's cabinet will make you feel right at home, especially because of the friendly locals serving you.",ambiance,,0,,4,2
237,I've sat in the back and my eyes can't take the darkness that well.,ambiance,,0,,1,0
238,They had been open about an hour but there was stuff that belonged in a store room on some of the tables.,ambiance,,0,,1,0
239,"Delicious marinaded grilled chicken stuffed in a sub that has perfectly pickled onions, jalapenos, and other toppings.",food,,1,,4,2
240,It's hard to find a family as nice as the Aloe family.,service,,3,,3,2
241,"We were looking for a place to share some coffee, conversation, and card games, and Commonplace fit the description.",ambiance,,0,,3,2
242,They are a chain.,ambiance,,0,,2,1
243,Nothing in this store is easy.,general,,5,,0,0
244,The place is always clean with a friendly staff that's always willing to help you find your seats or any other thing you might be in need of.,service,,3,,3,2
245,"The ac is lined on one side of the upstairs room, and is not so easily felt on the other side.",ambiance,,0,,1,0
246,It's absolutely all over the place and strangely difficult to read.,service,,3,,1,0
247,We were waiting for the bus to board when we received a phone call back...at shortly before 1:00pm.,general,,5,,2,1
248,Their fresh fish and frozen shrimp and lobster products are very good too.,food,,1,,4,2
249,She was knowledgable about the food and alcohol.,service,,3,,3,2
250,The avocado adds a creamy texture since it is blended after the rest of the ingredients are juiced.,food,,1,,3,2
251,O' but I did partake of some Rita's Italian Ice.,food,,1,,2,1
252,The fried potatoes are awesome.,food,,1,,4,2
253,Today was the first time I have ever gone to Paris 66.,location,,2,,2,1
254,"I typically reserve their ""Wild Car"", which is usually the cheapest deal and will secure a Mid-Size or larger car.",price,,4,,3,2
255,"They were kinda bland and dry, except where the fruit topping had been, where they were soggy.",food,,1,,1,0
256,"I immediately went to the cashier, explained what just transpired, and insisted to her that it's no big deal, seeing as my friend decided to eat it so it doesn't go to waste.",service,,3,,2,1
257,"Being a vegetarian, I was really surprised by how much I enjoyed Bakn.",food,,1,,3,2
258,It wasn't really possible for me to be more excited about M&P when I'd heard about it.,general,,5,,4,2
259,They eye you a bit funny when you first walk in the door.,service,,3,,1,0
260,"For $15, I'm sure there are other nail places that does a much better job.",price,,4,,1,0
261,Its rough around the edges but that doesnt even bother me.,food,,1,,3,2
262,It was uncomfortable and unnecessary.,general,,5,,0,0
263,I would definitely go back here though.,general,,5,,4,2
264,The only other downside is the space is small and there are not many places to sit down.,ambiance,,0,,1,0
265,Wish I could give it a 4.5-star.,general,,5,,4,2
266,This outdoor bar and seating is a rare treat in this sea of chain restaurants and gas stations.,ambiance,,0,,3,2
267,"They are a touch on the pricey side, but I think their food is generally high quality.",price,,4,,1,0
268,"The prices were reasonable, and I can't wait to go back.  p.s. - you can also allegedly bring your own wine and pay a small corkage fee.",price,,4,,3,2
269,"We didn't have a reservation, but it was Sunday night so we thought we'd take our chances.",service,,3,,2,1
270,The same server forgot to bring beer orders as well.,service,,3,,1,0
271,A 28.6% markup is a bit steep considering inflation was about 2% last year.,price,,4,,1,0
272,What a great addition to the south side.,location,,2,,4,2
273,Prices are reasonable so you can get a decent meal for a decent price.,price,,4,,3,2
274,From the sea rose the second appetizer in Polipo.,food,,1,,3,2
275,Its not that bad when I can't understand the server that well.,service,,3,,1,0
276,This hotel was great!,general,,5,,4,2
277,overpriced california/italian food.,price,,4,,0,0
278,"In fact, if it did, I may not have bought the Groupon in the first place.",price,,4,,1,0
279,"Apparently I was lucky, because it's not unusual for them to run out of popular flavors.",service,,3,,1,0
280,It's still art.,ambiance,,0,,3,2
281,The pharmacist was really helpful telling us all about the different discounts we could get to pay for her medicine.,price,,4,,3,2
282,"MANGO CARDAMON - interesting.. not bad, but not my fav.",food,,1,,3,2
283,"Lastly, I hate that this store doesnt have free parking.",location,,2,,1,0
284,"Also, after a certain hour, the lights are dimmed to the point where you can barely see your date (a potential plus if you have some evil friends who like blind dates), let alone read the menu.",ambiance,,0,,0,0
285,"The gravy was good, a little salty, as gravies are.",food,,1,,3,2
286,"I wasn't able to take advantage of them due to concentrating on group discussion with my table mates, but the bits and pieces that I saw and overheard were amusing.",ambiance,,0,,4,2
287,"Cons: Our single sammich cost $7, which I find to be fairly steep.",price,,4,,1,0
288,Some of our party had to go up to the bar for drinks.,food,,1,,2,1
289,"I also tried their rage - a very large pierogie sandwich - interesting concept, and it was not my favorite, but it was flavorful and rich.",food,,1,,3,2
290,"The crab pieces were huge, easily the size of garlic bulbs.",food,,1,,3,2
291,But -- surprise -- it IS in fact a delicious restaurant!,food,,1,,4,2
292,I was greeted warmly when I arrived and offered a beverage.,service,,3,,3,2
293,I went there because the big cheesecake restaurant next door had a 1.5 hr wait.,service,,3,,1,0
294,They cook the pizza pull it out of the oven then throw cheese and toppings on it then cover it up in a box.,service,,3,,2,1
295,A 1/2 slab (six bones) with two sides cost $13.00.,price,,4,,3,2
296,Worthy of another 5 star review and update.,general,,5,,4,2
297,There was an additional charge of $1.00 for pepper jack cheese that one of my co workers actually got on their burger.,price,,4,,1,0
298,Service was good.,service,,3,,3,2
299,"Their beef noodle soup did not disappoint, although I felt it could use a better balance of flavors.",food,,1,,3,2
300,"Although I wouldn't call this ""traditional mexican"" they take street food and elevate it.",food,,1,,3,2
301,"Zenith is where hipster goes to die (I mean- it's connected to an antique store, there are Christmas lights all year round, local artists decorate the walls with their art, etc.)",ambiance,,0,,3,2
302,"I forget which tacos we had, but it was the pork one, the ""eel taco"", and the bean/chick peas taco.",food,,1,,2,1
303,"Not the best Indian food in town, but definitely quite edible and even yummy on occasion.",food,,1,,3,2
304,"They cook on a griddle that is heated by burning hard woods, an interesting concept but to be honest I could not taste any smokiness to the meat.",ambiance,,0,,3,2
305,The drinks are cheap.,price,,4,,3,2
306,Less cheese and more sauce would be nice also.,food,,1,,1,0
307,"But a rare burger should leave some juices running down your fingers or chin (ok, it's a nice restaurant, maybe the chin thing would be too much).",food,,1,,3,2
308,"Maybe, overall, the branch staff was a little less helpful, for my needs.",service,,3,,1,0
309,Had the cookie plate for dessert--everything was fantastic.,food,,1,,4,2
310,There are three buffet like stations.,food,,1,,3,2
311,"""I've fought better.",service,,3,,1,0
312,I would definitely stop here again if I needed to hit a mall in Pittsburgh.,location,,2,,3,2
313,"Yes, I know this isn't health food, and Lord knows I'm not a plant fanatic, but none of my favorite burger joints ever made me feel like Five Guys did, and I arrived with an empty stomach.",food,,1,,4,2
314,"And when it came to pay they informed me that even if someone has a separate deal on a separate bill,  no two people at one table can use a coupon.",price,,4,,1,0
315,"We also ordered the baklava, which was flaky, sweet, and slightly sticky, as baklava should be.",food,,1,,3,2
316,It's especially nice in the winter time... it has this old romantic-classic bar/grill vibe that's hard to find.,ambiance,,0,,4,2
317,"Not great, not totally awful.",general,,5,,2,1
318,Decent indian grocery store close to CMU.,location,,2,,3,2
319,"The restaurant itself, like it's sister location, is adorable.",general,,5,,3,2
320,Five Guys does a fine job as far as chains are concerned.,service,,3,,3,2
321,It will easily be 3 meals for me.,food,,1,,3,2
322,Upstairs room was good for the quiet.,ambiance,,0,,3,2
323,"I like them because of their customer service style, these guys are Pittsburghers and are very straight forward no- nonsense professional mechanics.",service,,3,,3,2
324,It was the type you get In a package at the grocery store.,food,,1,,2,1
325,This is the Pep Boys you want to go to if you're in the area.,location,,2,,3,2
326,I love the beautiful backlit stained glass panels that open the space up.,ambiance,,0,,4,2
327,"This place is hard for me to talk about because I go there so much, there are a few employees I'm really fond of.",service,,3,,3,2
328,Service was acceptable.,service,,3,,2,1
329,"I didn't even call until I knew they were delivered, and they were able put them on with such notice.",service,,3,,3,2
330,Delicious!,food,,1,,4,2
331,"Its especially cool on a Fireworks Night (but... considering that we're talking about Pittsburgh, I do realize that fireworks aren't that much of a novelty in the summertime).",ambiance,,0,,3,2
332,"Ordered the Button Buster with braised beef short ribs, white cheddar, bearnaise ailol, onion rings.",food,,1,,2,1
333,The buffalo chicken pierogi- This was delicious.,food,,1,,4,2
334,"The band seemed to take a lot of breaks, but they were entertaining when they were performing.",ambiance,,0,,3,2
335,"We had the haemul pajeon (seafood pancake), soondubu (spicy soft tofu stew), and wooguhji galbi tang (spicy short rib stew).",food,,1,,2,1
336,I can't wait to try more.,food,,1,,3,2
337,"Wish they were a little less expensive: A lot of Indian buffet restaurants around the area are at the 10$ price range, so it makes it harder to choose Coriander over them.",price,,4,,0,0
338,I had boondas today: pizza with bacon.,food,,1,,2,1
339,The nice thing is that these subs are so big that usually I only eat half the sub.,food,,1,,3,2
